Latitude,Longitude,locality,city,state,country,NETWORK_PROVIDER
42.95366327,-78.82694169,Heath St,Buffalo,New York,United States,GPS
42.95437794,-78.82242261,Main St,Buffalo,New York,United States,GPS
42.95796288,-78.81844316,Kenmore Ave,Buffalo,New York,United States,GPS
42.96290569,-78.81588139,Springville Ave,Buffalo,New York,United States,GPS
42.95993929,-78.81593228,Springville Ave,Buffalo,New York,United States,GPS
42.95993991,-78.81594094,Springville Ave,Buffalo,New York,United States,GPS
42.96643189,-78.81577195,Springville Ave,Buffalo,New York,United States,GPS
42.96787459,-78.81579886,Springville Ave,Buffalo,New York,United States,GPS
42.96990919,-78.81588126,Springville Ave,Buffalo,New York,United States,GPS
42.97117475,-78.81586962,Springville Ave,Buffalo,New York,United States,GPS
42.97122815,-78.81587522,Springville Ave,Buffalo,New York,United States,GPS
42.97221301,-78.81389748,Bailey Ave,Buffalo,New York,United States,GPS
42.97223579,-78.81393961,Bailey Ave,Buffalo,New York,United States,GPS
42.97609077,-78.81361688,Bailey Ave,Buffalo,New York,United States,GPS
42.97712747,-78.8136301,Bailey Ave,Buffalo,New York,United States,GPS
42.98049073,-78.81376227,N Bailey Ave,Buffalo,New York,United States,GPS
42.98260552,-78.81137658,Clifford Heights,Buffalo,New York,United States,GPS
42.98189266,-78.81216856,Sheridan Dr,Amherst,New York,United States,GPS
42.98619084,-78.81436497,N Bailey Ave,Buffalo,New York,United States,GPS
42.98876844,-78.81458042,N Bailey Ave,Buffalo,New York,United States,GPS
42.99075204,-78.81449752,Maple Rd,Buffalo,New York,United States,GPS
42.99075013,-78.81329148,Maple Rd,Buffalo,New York,United States,GPS
42.99071376,-78.81095369,Maple Rd,Buffalo,New York,United States,GPS
42.99062555,-78.80823847,Maple Rd,Buffalo,New York,United States,GPS
42.99057443,-78.80496211,Maple Rd,Buffalo,New York,United States,GPS
42.99069056,-78.80407239,Maple Rd,Buffalo,New York,United States,GPS
42.99200662,-78.80323663,Sweet Home Rd,Buffalo,New York,United States,GPS
42.9936525,-78.80235461,Sweet Home Rd,Buffalo,New York,United States,GPS
42.99602803,-78.80067409,Sweet Home Rd,Buffalo,New York,United States,GPS
42.99996654,-78.79847729,Rensch Entrance,Buffalo,New York,United States,GPS
42.99986029,-78.79404962,Hadley Rd,Buffalo,New York,United States,GPS
43.00144207,-78.79132576,Putnam Way,Buffalo,New York,United States,GPS
43.00143931,-78.7898518,Putnam Way,Buffalo,New York,United States,GPS
43.00193864,-78.78765145,null,null,null,null,GPS
43.00163698,-78.78737457,null,null,null,null,GPS
43.00149621,-78.78707485,Putnam Way,Buffalo,New York,United States,GPS
43.00456538,-78.78606723,null,null,null,null,GPS
43.00485825,-78.78602309,Lee Rd,Buffalo,New York,United States,GPS
43.01189384,-78.78628406,Rd,Buffalo,New York,United States,GPS
43.01249491,-78.78873546,Skinnersville Rd,Buffalo,New York,United States,GPS
43.0136792,-78.78853565,N Forest Rd,Getzville,New York,United States,GPS
43.01475164,-78.78932681,N Forest Rd,Getzville,New York,United States,GPS
43.01496957,-78.78952113,N Forest Rd,Getzville,New York,United States,GPS
43.01835595,-78.79034482,N Forest Rd,Buffalo,New York,United States,GPS
43.02086434,-78.79216128,N Forest Rd,Buffalo,New York,United States,GPS
43.02167239,-78.79304984,Lockport Expy,Amherst,New York,United States,GPS
42.99770244,-78.79925894,Sweet Home Rd,Buffalo,New York,United States,GPS
42.99711861,-78.79974417,Sweet Home Rd,Buffalo,New York,United States,GPS
42.98048957,-78.81412876,Sheridan Dr,Buffalo,New York,United States,GPS
